ca,choice,cp,exang,fbs,k,p,restecg,scaler,scaling,score,sex,slope,thal
0,3,0,0,0,5,2,0,None,0,0.603174603,0,0,0
0,3,0,0,0,5,2,0,standard,1,0.825396825,0,0,0
0,3,0,0,0,5,2,0,min_max,1,0.78125,0,0,0
0,3,0,0,0,5,2,0,max_abs,1,0.806451613,0,0,0
0,3,0,0,0,5,2,0,robust,1,0.8,0,0,0
0,3,0,0,0,5,2,0,normalize,1,0.825396825,0,0,0
0,3,0,0,0,5,2,0,None,0,0.603174603,0,0,1
0,3,0,0,0,5,2,0,standard,1,0.830769231,0,0,1
0,3,0,0,0,5,2,0,min_max,1,0.8125,0,0,1
0,3,0,0,0,5,2,0,max_abs,1,0.825396825,0,0,1
0,3,0,0,0,5,2,0,robust,1,0.84375,0,0,1
0,3,0,0,0,5,2,0,normalize,1,0.8125,0,0,1
1,3,0,0,0,5,2,0,None,0,0.603174603,0,0,0
1,3,0,0,0,5,2,0,standard,1,0.75,0,0,0
1,3,0,0,0,5,2,0,min_max,1,0.794117647,0,0,0
1,3,0,0,0,5,2,0,max_abs,1,0.794117647,0,0,0
1,3,0,0,0,5,2,0,robust,1,0.75,0,0,0
1,3,0,0,0,5,2,0,normalize,1,0.71641791,0,0,0
1,3,0,0,0,5,2,0,None,0,0.603174603,0,0,1
1,3,0,0,0,5,2,0,standard,1,0.8,0,0,1
1,3,0,0,0,5,2,0,min_max,1,0.830769231,0,0,1
1,3,0,0,0,5,2,0,max_abs,1,0.84375,0,0,1
1,3,0,0,0,5,2,0,robust,1,0.793650794,0,0,1
1,3,0,0,0,5,2,0,normalize,1,0.793650794,0,0,1
0,3,0,0,0,5,2,0,None,0,0.603174603,0,1,0
0,3,0,0,0,5,2,0,standard,1,0.84375,0,1,0
0,3,0,0,0,5,2,0,min_max,1,0.8125,0,1,0
0,3,0,0,0,5,2,0,max_abs,1,0.8125,0,1,0
0,3,0,0,0,5,2,0,robust,1,0.8125,0,1,0
0,3,0,0,0,5,2,0,normalize,1,0.794117647,0,1,0
0,3,0,0,0,5,2,0,None,0,0.603174603,0,1,1
0,3,0,0,0,5,2,0,standard,1,0.84375,0,1,1
0,3,0,0,0,5,2,0,min_max,1,0.830769231,0,1,1
0,3,0,0,0,5,2,0,max_abs,1,0.818181818,0,1,1
0,3,0,0,0,5,2,0,robust,1,0.819672131,0,1,1
0,3,0,0,0,5,2,0,normalize,1,0.830769231,0,1,1
1,3,0,0,0,5,2,0,None,0,0.625,0,1,0
1,3,0,0,0,5,2,0,standard,1,0.776119403,0,1,0
1,3,0,0,0,5,2,0,min_max,1,0.776119403,0,1,0
1,3,0,0,0,5,2,0,max_abs,1,0.776119403,0,1,0
1,3,0,0,0,5,2,0,robust,1,0.761904762,0,1,0
1,3,0,0,0,5,2,0,normalize,1,0.746268657,0,1,0
1,3,0,0,0,5,2,0,None,0,0.625,0,1,1
1,3,0,0,0,5,2,0,standard,1,0.793650794,0,1,1
1,3,0,0,0,5,2,0,min_max,1,0.830769231,0,1,1
1,3,0,0,0,5,2,0,max_abs,1,0.830769231,0,1,1
1,3,0,0,0,5,2,0,robust,1,0.793650794,0,1,1
1,3,0,0,0,5,2,0,normalize,1,0.8,0,1,1
0,3,0,1,0,5,2,0,None,0,0.603174603,0,0,0
0,3,0,1,0,5,2,0,standard,1,0.8,0,0,0
0,3,0,1,0,5,2,0,min_max,1,0.774193548,0,0,0
0,3,0,1,0,5,2,0,max_abs,1,0.774193548,0,0,0
0,3,0,1,0,5,2,0,robust,1,0.774193548,0,0,0
0,3,0,1,0,5,2,0,normalize,1,0.806451613,0,0,0
0,3,0,1,0,5,2,0,None,0,0.603174603,0,0,1
0,3,0,1,0,5,2,0,standard,1,0.830769231,0,0,1
0,3,0,1,0,5,2,0,min_max,1,0.8125,0,0,1
0,3,0,1,0,5,2,0,max_abs,1,0.8125,0,0,1
0,3,0,1,0,5,2,0,robust,1,0.806451613,0,0,1
0,3,0,1,0,5,2,0,normalize,1,0.793650794,0,0,1
1,3,0,1,0,5,2,0,None,0,0.603174603,0,0,0
1,3,0,1,0,5,2,0,standard,1,0.738461538,0,0,0
1,3,0,1,0,5,2,0,min_max,1,0.787878788,0,0,0
1,3,0,1,0,5,2,0,max_abs,1,0.787878788,0,0,0
1,3,0,1,0,5,2,0,robust,1,0.73015873,0,0,0
1,3,0,1,0,5,2,0,normalize,1,0.735294118,0,0,0
1,3,0,1,0,5,2,0,None,0,0.603174603,0,0,1
1,3,0,1,0,5,2,0,standard,1,0.8,0,0,1
1,3,0,1,0,5,2,0,min_max,1,0.8,0,0,1
1,3,0,1,0,5,2,0,max_abs,1,0.8,0,0,1
1,3,0,1,0,5,2,0,robust,1,0.793650794,0,0,1
1,3,0,1,0,5,2,0,normalize,1,0.825396825,0,0,1
0,3,0,1,0,5,2,0,None,0,0.603174603,0,1,0
0,3,0,1,0,5,2,0,standard,1,0.830769231,0,1,0
0,3,0,1,0,5,2,0,min_max,1,0.806451613,0,1,0
0,3,0,1,0,5,2,0,max_abs,1,0.806451613,0,1,0
0,3,0,1,0,5,2,0,robust,1,0.761904762,0,1,0
0,3,0,1,0,5,2,0,normalize,1,0.825396825,0,1,0
0,3,0,1,0,5,2,0,None,0,0.603174603,0,1,1
0,3,0,1,0,5,2,0,standard,1,0.830769231,0,1,1
0,3,0,1,0,5,2,0,min_max,1,0.8125,0,1,1
0,3,0,1,0,5,2,0,max_abs,1,0.84375,0,1,1
0,3,0,1,0,5,2,0,robust,1,0.8,0,1,1
0,3,0,1,0,5,2,0,normalize,1,0.825396825,0,1,1
