ca,choice,cp,exang,fbs,k,p,restecg,scaler,scaling,score,sex,slope,thal
0,3,1,1,1,11,1.0999999999999999,0,max_abs,1,0.918032787,0,1,1
0,3,1,1,0,9,1.5999999999999999,0,min_max,1,0.9152542370000001,1,0,0
0,3,1,1,0,9,2.1999999999999997,1,min_max,1,0.9152542370000001,1,0,0
0,3,1,1,1,9,1.5999999999999999,0,min_max,1,0.9152542370000001,1,0,0
0,3,1,1,0,9,2.1,1,max_abs,1,0.9152542370000001,1,0,0
1,3,1,0,0,15,1.7,0,standard,1,0.9032258059999999,0,1,1
1,3,1,1,0,11,1.5,0,standard,1,0.9032258059999999,0,1,1
0,1,1,0,1,13,-1.1,0,standard,1,0.9032258059999999,0,0,1
1,3,1,0,1,11,1.5999999999999999,0,standard,1,0.9032258059999999,0,1,1
1,3,1,1,1,11,1.5,0,standard,1,0.9032258059999999,0,1,1
0,3,1,1,1,18,0.8,1,standard,1,0.9032258059999999,0,1,1
0,3,0,1,0,16,0.8,0,standard,1,0.9032258059999999,1,1,1
0,3,0,1,1,8,0.4,0,standard,1,0.9032258059999999,1,1,0
1,3,1,0,0,17,1.5999999999999999,0,standard,1,0.9032258059999999,1,0,1
0,3,1,0,0,13,1.5,0,standard,1,0.9032258059999999,1,1,1
1,0,1,0,0,13,-1.1,0,standard,1,0.9032258059999999,1,1,1
1,3,1,1,0,15,1.5999999999999999,0,standard,1,0.9032258059999999,1,0,1
1,3,1,1,0,10,1.5,0,standard,1,0.9032258059999999,1,1,1
1,3,1,0,0,15,1.0999999999999999,1,standard,1,0.9032258059999999,1,1,1
0,1,1,1,0,16,-1.1,1,standard,1,0.9032258059999999,1,1,1
1,1,1,1,0,16,-1.1,1,standard,1,0.9032258059999999,1,1,1
0,3,1,0,1,15,0.8,0,standard,1,0.9032258059999999,1,0,1
1,3,1,0,1,17,1.5999999999999999,0,standard,1,0.9032258059999999,1,0,1
0,3,1,1,1,9,1.2999999999999998,0,standard,1,0.9032258059999999,1,1,0
1,3,1,1,1,11,1.5,0,standard,1,0.9032258059999999,1,1,1
